Id,Predicted
33025022600000,244794
33053059470100,180920
33053055610000,208590
33025015390100,235325
33061031960000,185072
33053045380000,284242
33053047860000,224275
33105040050000,212928
33025025710000,134871
33053060710000,178036
33061034360000,254568
33053066930000,194202
33053053880100,103784
33105035790000,148360
33023012680000,110534
33053052320000,166794
33053038370000,189456
33105036810000,225682
33061029220000,131007
33053052690100,171896
33053054980000,185122
33023011460000,146614
33061028540000,232302
33053052150000,207651
33025023950000,199995
33061028590000,213450
33053045360000,291193
33007018020200,40757
33023013070000,126220
33105036510000,232854
33105033790000,182177
33023010630000,121290
33053057640000,155450
33025025450000,170895
33053058260000,203810
33025021970000,160135
30025415640000,187189
30025415200000,116127
30025414180100,131959
30015428890100,126266
42109326990000,135775
30015412940000,118478
42301323710000,170599
42301325700000,56136
30025419270000,71927
30015425050000,221400
30015422200000,37391
30025424890000,188013
30025425160000,185976
30015429760000,119566
30015415280100,73517
30025413900000,148533
30025407710000,162681
30025413300000,74442
30025415380000,139966
30015426300000,95224
30015427360000,87624
30025414360100,85202
30015411200000,120259
30025413400100,123751
42301323880000,161413
30025397120000,172445
30025405140000,97036
42301319470000,164120
30025413820000,102734
42109327030000,116655
30015412480000,80143
30015424570000,55715
42475367310000,109637
42109327350000,121027
30015421350000,147678
30015415810000,31362
30015414370000,216937
42301320710000,125606
30025415110000,177351
30015416930000,89081
30025416270000,120422
30015429230000,131650
42301324040000,163313
30025413600000,37603
30015417970000,123931
42301321940000,119623
42301323580000,201360
30025416120100,81144
30025406650000,150013
30015424490000,104968
42109325830000,82249
30015421310000,42886
30025410540000,126259
30025410920000,155771
42301319490000,155992
42389339230100,204832
30025423520000,115791
30015411180000,120324
30015424720000,79900
30025413640100,113058
42495336790000,123765
30025417010000,59098
30015415950000,143558
30015419350000,120138
30015421300000,174203
42301322310000,72656
42109324790000,67776
42109325230000,151500
30015423270000,143766
30025420600000,141319
30025421580000,143060
30015426650000,110701
30015418480000,61560
42301321960000,211290
42109325170000,92410
30015416090100,100898
30025411990000,97090
30025413320000,115379
42301320720000,126073
30025412550000,62661
33053062100000,194003
33053041020000,246602
33105032470000,194369
33053049260000,118445
33053055650000,253454
33053064110000,134031
33053060940000,191153
33105035260000,139156
33025021910000,157502
33105033420200,75524
33053052620000,134216
33105034660000,167027
33105033060000,139628
33025017700000,128050
33025025730000,111591
33025025120000,136940
5123396180000,64712
33053060000000,169560
33053047700000,136493
33061026820000,163158
33105034210000,189633
33105038530000,149422
33053051400000,134833
33023009490100,61692
5123399340000,41430
49021211640000,128388
5123390280000,50275
33053054310000,120694
33025021900000,176042
5123401710000,39908
33053068480000,170065
33105030950100,163514
33061031870100,52026
5123394270000,120494
5123365250000,87555
33025026050000,199160
33053056650000,386311
33053055720000,158053
5123396010000,30963
5123379170000,44943
33105039330000,170720
33105036620000,126691
33053050500100,128362
49021215690000,153841
5123391800000,41991
5123402690000,129444
49021210540000,55544
33061027070200,98607
33053061510100,99151
5123395850000,38183
33105036710000,168613
33061028340000,179864
33061031040000,196124
33053037300100,122134
33013017250000,140723
5123387590000,40735
33061037270100,93708
33105036020000,150313
33061029600000,167526
33053058670000,155383
5123382190000,29695
33025018700000,152731
33053052760000,153882
33025022270000,114967
33013017700000,123572
49021215920000,84268
33061032020000,185570
33025027240000,236365
33053057830000,246399
33053057240000,199824
5123389580000,41460
33061029390100,197168
5123399370000,58043
33061032740000,169505
33053055440000,153495
33053063410000,140464
5123389010000,40423
33105035530000,151565
33023010620000,108772
5123384170000,107089
33105029110000,181551
5123378280000,74874
33025021460000,214412
33053060120200,137126
33025025670000,37855
33053061610000,161171
5123365180000,15527
33053061360000,212178
33053052440100,131594
33105033160100,39355
33105032210000,161926
33053056620100,400539
5123393360000,35451
33053061590000,145092
5123397980000,32152
33105031680000,200957
5123405570000,47736
5123365280000,76334
5123376410000,41021
33053053070000,130880
33023011720000,157331
33105039260000,169386
33105029760000,186766
33061024920000,140299
33007017750000,60953
33053045480100,158290
33023008670000,30524
5123380810000,108368
33053052530100,77112
33053054470000,151485
33053059030100,132808
33061028850000,140486
33061029920000,124610
33061026690000,260538
33053056730000,178184
33053057320000,204256
33105031360000,268669
33053061710100,169225
33053057340000,199165
5123390380000,44792
33053052810000,114816
33061028560000,265897
33053054150000,153267
33105035190000,120036
33061029900000,159684
33061029930000,105313
42109326960000,119653
33053055480000,160248
5123367440000,42489
42301320830000,28221
33053041500100,142117
33025025860000,149338
33053051880000,204759
33053053590000,208386
33053056820000,238004
33053061670000,168572
33053046510000,89618
33025021540000,221234
5123407790000,29505
33105028320000,194506
33013017790000,139150
33105034250000,157440
5123377860000,43594
33053061940200,114230
33053059890000,186012
33053061840000,160807
30015410310000,53184
33053058160100,61058
33061029750000,164679
33053056080000,134340
33053059910000,193683
33105035410000,187332
33061026780100,91110
33105029670000,136013
30025420370000,176437
30015421340100,144389
33053059560000,131478
33105033380000,157960
30025424370000,138916
30015420780000,199836
5123395770100,137306
33025007760100,149785
42105422270000,136510
42105419080000,143825
30015424900000,106374
33025021550000,115440
30015410050000,37175
5123383910000,80694
30015420710000,131791
30025409300000,159182
42389341090100,81725
30015415130000,144652
33023008920000,140280
5123400780000,41496
33061027190000,166390
33061032060000,164416
30015420090000,149013
42105419100000,44384
30025417770100,118608
33105034910000,147518
33061026530000,178708
33061028980000,57704
30025411140000,103644
30025411880000,94756
30025405370000,217272
30015420540000,170165
5123396310000,79289
33053055710000,148842
42301320820000,64484
33105031380000,167305
33053065600000,159074
33053057130000,163364
42301322730000,147336
30025412460000,130234
33105035850000,186690
30025414910000,110415
33053065590000,123437
33053058600000,138176
33025015800100,109129
42003418670100,4818
33105033780000,156186
30025415370000,120236
30015426700000,160447
30025414350000,59059
33053054050000,258716
30025416460000,88311
42301319160000,67900
33025024070000,107391
33053054280000,87536
33061027090000,134120
33105031860000,153146
33105035770100,222791
42475365580000,120628
5123383980000,120656
30015428510000,172773
33061027930000,66893
30025414140000,184372
33061025990000,277875
30025420950000,163140
33105033450000,162381
33025020450000,141985
30025412430000,148455
30015410470000,95323
42475363880300,116744
30015413920000,87411
30015418960000,52024
30025416250100,156905
42301325560000,82290
30015416360000,94174
42105421070000,133870
30025414980000,43188
30025414700100,153600
30015424320000,125401
42475365640000,73817
42301324820000,98031
30025419100000,100962
30015421110000,131142
30015423930000,86393
30025413040000,86442
30025414260000,85931
42105420290000,125697
42105419360000,145445
35073249010000,71383
35073248730000,62763
5123394970000,50067
35017246760000,86821
35073248620000,51335
5123386030000,47127
35011234940000,90683
35051238080000,96967
35011234960000,66431
35051238220000,41630
33025012210000,163517
5123379810100,33648
33025025440000,126452
33025021840000,112052
33105032120000,96341
33053049860000,76716
33053051710000,133551
33025021380000,102215
33105036170000,130122
35073250820000,178905
35017246930000,69130
33105034630000,77768
33053050510000,101035
33053047290000,176843
33105031340000,107129
33053043610000,104862
35073249520000,75274
5123395990000,29466
33053050720000,113945
33105031660100,109630
5123397810000,45290
33061028720000,145066
33105030720000,110652
33105033650300,79654
35051237930000,125980
33105034860000,182833
33053054390000,131063
35011234970000,103749
33105031980000,134725
33025023580000,188630
35051238760000,80664
33105035450000,111568
33025024380000,150856
5123390020000,58873
33105036190000,170411
33025024510000,122600
5123374760000,38593
5123391450000,43142
33023011730000,146890
35073251100000,147178
5123396490000,106586
5123375770000,55214
5123411610000,120933
5123385980000,26040
35073249810000,161473
5123389320000,51915
5123372560000,159184
5123391340000,68845
5123412620000,69893
5123415360000,138825
35073251210000,362326
5123391350000,31022
49021210570000,182768
49021222980000,221877
5123389820100,121158
5123387780000,112093
49021212260000,185329
35073248840000,46188
5123376270000,29389
5123386010000,35482
5123387800000,46313
5123381620000,27263
5123389130000,45585
5123349520000,102925
5123390300000,33993
35073249660000,48429
33053066390000,322793
33089008180000,128452
5123409150000,107422
5123375790000,61006
35073250320000,79814
33025019270000,155732
33105031150100,118613
33061031930100,139534
35073251010000,189903
5123370390000,75256
33089008110000,142668
5123381200000,64640
33025027070000,195322
33023013360000,105702
5123400810000,36511
5123374930000,40772
5123380640100,37991
33053065350000,200849
5123394220000,64978
5123379210000,32120
5123374230000,29175
33105035470100,136964
33061030460000,136224
5123395740000,198646
35017247640000,190561
35073249130000,55600
5123372030000,36876
5123383900000,90669
5123411160000,89100
5001098260100,65156
33053065060000,163002
33053062730000,144721
5123365260000,62903
5123374240000,23740
5123382300000,77648
5123377120000,30155
5123380600000,62636
5123380670000,72060
5123389730000,86143
35073251140000,167637
5123384060000,46060
5123383440000,44325
5123374200000,24882
5123386590000,27153
5123359980000,34244
5123378870000,70889
5123377680000,25614
5123383450000,50701
5123389420000,76405
5123412510000,72185
33053059440000,168591
33023012870000,109975
33053058530000,190108
5123379250000,40616
5123402850000,39944
5123385860000,148639
5123390570000,144463
33023012280000,106172
5123371710000,118914
33089008470000,155645
5123403130000,64212
33053065550000,186630
5123383380000,52470
33053061950000,162341
5123380570000,40650
5123384080000,102121
5123392400000,73197
5123399300000,40730
5123367400000,25611
5123383320000,31547
5123381430000,45300
5123373690000,47748
5123383210000,35404
5123386450000,46660
5123382970000,118706
33025026040000,148667
35073251020000,183017
33061037260000,172837
5123409140000,38127
33053060300000,161937
5123406210000,38198
5123391360000,33128
5123393970000,36662
5123371910000,54726
5123386320000,119976
5123406880000,41520
5123406850000,46069
5123394280000,45537
33025027140000,168240
33053046330000,201345
33053048600100,161693
5123392290000,45095
33105036990000,173371
33061026070100,155140
33053056360100,223051
33025027040000,156362
33053063910000,190014
5123387850000,68535
33053057770000,72896
5123383310000,37710
5123393980000,81494
5123368450000,42195
5123358360000,32583
5123382350000,67183
5123386730000,39203
5123362780000,30768
5123385910000,35775
5123390960000,29424
5123365520000,21357
33105036650200,50757
33105037310000,180340
5123374080000,33060
5123376670000,32139
5123397550000,30873
5001097770000,54919
5123382030000,80444
5123399610100,87189
5123406040000,61451
33013016870100,109503
33053063610000,162372
5123374170000,27800
33053057300000,203224
33025028240000,133807
5123393080000,67123
5123400490000,36203
5123378440000,43661
33025022620000,106423
5123377820000,125494
5123406200000,22126
5123393940000,68016
5123391960000,59216
5123387870000,37125
5123392680100,31470
5123394620000,31370
33053059420000,115641
33105028580000,161404
33061026050000,151104
5123381990000,96327
5123390120000,46151
33053055030000,163096
5123382120000,41757
5123378600000,76025
5123398350000,31591
5123391050000,67728
5123380250000,52017
5123378120000,43763
5123362310000,90685
33105032970000,156501
33105033640000,152584
5123391020000,49141
33025024960000,120029
5123389240000,46524
33061027850000,150959
33105033720000,195171
5123389810000,120104
5123388040000,39828
33053060680000,112859
33025022930000,112296
33007018250000,118625
5123397280000,51610
5123392190000,59015
5123393070000,116578
5123392580000,107060
5123400600000,127255
35073249590000,130313
5123397380000,130118
35011235050000,170133
33013017520000,84093
5123400610000,52413
5123399270000,47785
33023011920000,101846
5005072240000,188439
33053054190000,100313
5123388240000,125583
33061030820000,265110
33053054180000,81920
33089008410000,162876
33105032010000,178587
33061030400000,145364
33053053460000,109839
33053056580000,198823
33061024170000,155723
33061029030000,140238
33105031690000,126485
5123387600000,128317
33023009480100,152134
33061030660000,126113
33053057700000,51983
33025024530000,152597
5123392790000,31542
33025026730000,239837
33007018110000,40322
35073250010000,97394
33061030920000,132859
5123395180000,28445
5123395260000,40958
33053051150000,181902
42227383500000,211636
42317401630000,153561
5123407020000,27522
42173371760000,78358
33053044340000,91208
42003458960200,162209
5123400620000,56561
42317397170000,228637
42383388920000,184570
42317392580000,136382
42317387900000,166648
42173369400000,94587
33023011980000,154608
5123369840000,102712
5123394480000,127992
33053052450000,169564
42135423720000,42589
42461389850000,67429
42317399690000,155745
5123398060000,42704
5123398100000,37423
33061026950000,69637
33105036770000,139996
33105034380000,107902
33089008070000,113703
33007018080000,110554
33105032080100,62678
33061028970000,123775
33053056950000,195166
42329401760000,131567
33061032210000,203659
33061024030000,160616
33061029720000,172051
42317394110000,174834
42329390030100,131332
42173369000000,123577
5123373120000,30164
42383387610000,182701
42317401230000,142035
42383393150000,143341
5001097810000,36654
5123389790000,138319
42173363840000,125139
42461393020000,214224
5123377950000,29262
35017247310000,100149
33023011640000,111925
33053059670000,142182
33025021240000,141455
42329398840000,119626
42383391160000,210414
5123393050000,59191
33105034240000,177744
33025024440000,159385
42317400270000,150920
42329396350000,135691
42317394640000,124015
5005072030100,34328
33053057110000,151573
33023012070000,125287
33105034470000,102827
42103363420000,48271
42227384540000,167151
42383393720000,95600
33053056310000,116117
35073249080000,87231
33053052800000,134877
42135428520000,48067
42329402000000,239640
42383385530000,178263
33061032620000,138058
5123393550000,140272
33053037830000,262007
5123395090000,26608
42329395090000,247674
33025020150000,95488
42317400220000,134978
42003442780000,36830
42461394280000,164588
5123389830000,141218
42461399760000,172011
42461390700000,162346
30015415550100,78430
42461391630000,195144
33025026640000,156702
42383393040000,103858
42383386340000,229380
42173367230000,116168
42461392390100,163584
42235355950000,217540
42317393810000,110210
33105035050000,187625
35073250160000,167966
33089008020000,135212
33053050590000,432282
42461398230000,148707
35073250340000,143189
42173369740000,92351
42383393230000,34929
42135425210000,55323
42329393230000,142481
30015415830000,65649
42317395720000,162574
42317394910000,165333
42105422420000,131066
33013017890100,98133
42135426170000,62460
42317397880100,155334
42317395930000,176295
33033003540000,116268
42173371550000,167137
42003470850000,49529
42329396070100,140318
42329395910000,116613
42461400520000,204638
42383388200000,113321
42495335280000,106488
42329391940000,186931
42317397100000,239548
42383383380000,155022
42173368410000,93411
42003458620000,40083
42317394940000,217527
30015430740100,53007
42173361630000,123725
42383385920000,154689
42383393030000,99244
42003467350000,61677
42383392470000,135284
42329398870000,124591
42329397160000,183748
